date,net,to,pairs,fill,bp
20260105,-14768.180534999972,20580017.05,220,0.9674775928297055,-7.175980709403723
20260106,-11822.969312999936,20815429.939999998,224,0.9686932108218479,-5.6799063709370285
20260107,-10431.859697999964,21211803.09,225,0.9790506496950411,-4.917950470187947
20260108,-8203.957161000002,20659164.28,221,0.9742554265522464,-3.9710982737778013
20260109,-11216.88518400004,20601293.07,218,0.9840207522697795,-5.444748126191305
20260112,-9711.757232999993,21044550.39,224,0.981591770438549,-4.6148561280809535
20260113,-17147.072910000014,19812091.85,210,0.9804245933278192,-8.654852319393024
20260114,-9625.379636999918,21057993.26,224,0.981000802782981,-4.570891213686293
20260115,-12675.230496000044,20254890.779999997,215,0.9795283752267426,-6.2578616856901395
20260116,-9472.089842999954,20251887.89,219,0.9556068770849371,-4.6771391854668
20260119,-14697.523611000059,20496205.58,220,0.9753182644842816,-7.170850991727836
20260120,-13891.623579,20197410.17,222,0.9541008276899925,-6.877923190188892
20260121,-13250.490240000081,20802139.7,222,0.9813490035769035,-6.369772740253293
20260122,-13141.980558000007,19461970.79,212,0.959094865100087,-6.752646327448325
20260123,-16346.438419199967,20472191.895999998,220,0.9729440128582909,-7.984703593167203
20260126,-13452.255965999946,20319274.18,218,0.9653887113951012,-6.620441186447904
20260127,-13107.08752499998,19477651.85,212,0.9634241245136187,-6.7292955156706835
20260128,-17650.09586999994,20407984.5,217,0.9862813776999416,-8.648622733910807
20260129,-14209.854210000005,19554660.25,209,0.9684152705300741,-7.266735411575358
20260130,-10566.754898999938,19371927.47,207,0.9707943925233645,-5.454673994296107
20260202,-22894.339695000046,20465937.15,223,0.9556928034371643,-11.186558195308464
20260203,-12400.59879600005,19660682.98,210,0.9720377867746289,-6.307308249980261
20260204,-17392.790012999954,20306187.29,220,0.962843295638126,-8.565266223839677
20260205,-18104.383830000075,19482863.75,208,0.9745350500715307,-9.292465451851283
20260206,-17600.823194999917,20299667.15,218,0.9741041067224693,-8.67049841997036
20260209,-13691.238818999962,20488682.07,217,0.9803973509933774,-6.682342364542319
20260210,-10909.171797000028,20977909.26,223,0.9854727945060751,-5.200314131304441
20260211,-11133.26379300004,20385986.240000002,218,0.9819455672325519,-5.461233840703327
20260212,-14152.560557999888,20516357.589999996,222,0.9629441624365482,-6.898183800860477
20260213,-13438.073135999986,19974301.83,217,0.9600217568670112,-6.727681022531132
20260224,-10612.81700700003,20182710.56,217,0.9674344718030182,-5.258370512449162
20260225,-14753.467368000001,20378985.439999998,220,0.9675735092058257,-7.239549491527584
20260226,-11522.699585999937,20801667.130000003,222,0.9735705209656925,-5.539315437550671
20260227,-15276.270491999996,20852075.71,223,0.9798676227247656,-7.32601909970717
20260302,-14394.656751000013,20269612.029999997,216,0.9797279274473193,-7.101594608567362
20260303,-17586.09438000008,19142417.65,207,0.9592319831667543,-9.186976640852928
20260304,-19444.94790299995,18805031.69,204,0.9548260381593715,-10.340289888126186
20260305,-13460.079255000017,19798904.85,219,0.9316239316239316,-6.79839584915224
20260306,-15040.362599999897,20709407.200000003,222,0.9759935982928781,-7.2625751450770135
20260309,-14743.92014399993,20016099.27,216,0.9579392732702837,-7.366030686157728
20260310,-8466.53184000008,20371859.099999998,217,0.9808533916849015,-4.155993715860758
20260311,-13754.417793000024,19732703.939999998,217,0.9559495030889068,-6.970366471225749
20260312,-10932.912501000053,20139022.68,214,0.9791937581274383,-5.428720486946714
20260313,-22531.743864000036,19777650.369999997,213,0.9653039268423884,-11.392528152978993
20260316,-14348.982186000057,20695358.93,223,0.9653679653679653,-6.933429970716656
20260317,-18086.755928999966,19387615.77,211,0.9677511415525114,-9.329025365247357
20260318,-14980.594859999943,21077398.099999998,225,0.972318339100346,-7.1074213187632225
20260319,-17624.44007400005,19869492.020000003,218,0.9433712622386875,-8.87010098509808
20260320,-20682.8849490001,18499056.22,203,0.9557016290368677,-11.180508185406282
20260323,-16778.65925699996,19415911.409999996,212,0.9539491298527443,-8.641705713777752
20260324,-24876.48980400004,19298308.619999997,210,0.9515265131226567,-12.890502631002096
20260325,-16740.221235000034,19491542.199999996,213,0.9539620535714286,-8.588453937215927
20260326,-16730.05812900001,19701166.12,212,0.9709874900186319,-8.491912624408656
20260327,-15919.869681000007,19859168.73,217,0.9618596881959911,-8.016382708381373
20260330,-18650.935523999993,18403663.32,206,0.9262229350441058,-10.134360317128424
20260331,-19643.219762999935,19783056.990000002,214,0.9678456591639871,-9.929314651890882
20260401,-12690.572300999987,19823033.53,213,0.961671546446633,-6.401932520466249
20260402,-20490.504800999995,19604494.78,213,0.9523564254442441,-10.45194228718604
20260403,-21051.86028000002,18794865.8,210,0.931553911205074,-11.200856927640324
20260407,-13285.487709000028,20100995.52,223,0.9341331451423195,-6.609368026464805
20260408,-16876.150368000075,21150134.39,224,0.9882995319812793,-7.979216612438781
20260409,-19125.62110200007,21428227.61,230,0.9735166793990323,-8.925433054983342
20260410,-15756.534762000047,19768023.16,210,0.9720982142857143,-7.970718485337937
20260413,-14762.16755999996,19788671.65,215,0.9589913397860418,-7.459908285455816
20260414,-15662.896760999962,20843973.18,223,0.9744099378881987,-7.514352770338751
20260415,-15343.913184000085,19865965.869999997,214,0.9736281299946723,-7.7237186877338
20260416,-11484.119190000067,20591208.550000004,222,0.9732484076433121,-5.5771953171733895
20260417,-17129.81926199991,20290621.16,221,0.9524679170779862,-8.442235024213478
20260420,-14006.377587000043,20586363.36,218,0.9784228101721038,-6.803716296106435
20260421,-20382.252735000024,20961157.450000003,227,0.9714214711729622,-9.723820253542355
20260422,-12170.952560999935,20881480.68,225,0.9679049785190801,-5.828586941469677
20260423,-11240.653803000048,19551143.590000004,215,0.9533489705499087,-5.749358727409381
20260424,-21184.923908999946,19083453.419999998,212,0.9383580080753702,-11.101200313564602
20260427,-20596.108674000017,21202917.919999998,228,0.9662468513853905,-9.713808614319259
20260428,-17276.057535000014,20394583.7,218,0.9730465559488157,-8.470904721139277
20260429,-13266.380750999993,20892615.93,227,0.9637662669048227,-6.349794011170526
20260430,-11144.783712000042,20678386.009999998,222,0.9766756032171582,-5.389581037229145
20260506,-11534.509701000014,20685680.73,227,0.947129909365559,-5.576084177047052
20260507,-20235.432323999994,21302322.97,226,0.9807836286498628,-9.49916699342954
20260508,-10433.483090999998,21120834.28,229,0.9654800431499461,-4.939901025065
20260511,-16738.266689999946,20890558.95,226,0.9740429994756161,-8.01235942516509
20260512,-13552.20729300005,20686018.74,222,0.9724700484323222,-6.55138500227427
20260513,-11924.859261240108,20410873.831200004,218,0.9763737722325458,-5.842405063036449
20260514,-21481.37360099995,20241594.529999997,217,0.97115132441647,-10.612490813983294
20260515,-18903.346118999903,20194090.52,220,0.9602564102564103,-9.360830635218873
20260518,-17775.048540000073,20257697.450000003,216,0.9737378888322284,-8.774466389318135
20260519,-19804.586346000084,20278059.729999997,220,0.9733611909114651,-9.766509522950344
20260520,-19728.40924799998,19510993.439999998,211,0.9644492324266092,-10.111432464302025
20260521,-23132.123234999992,21273519.65,227,0.9843997884717081,-10.873669997056643
20260522,-20841.20927700006,20499875.71,221,0.9676258992805755,-10.166505188533195
20260525,-15674.103672000016,19862040.31,213,0.9644822411205602,-7.891487192334682
20260526,-19927.09541999997,18739066.15,207,0.934984520123839,-10.633985312016186
20260527,-16397.510391000025,18603105.38,203,0.9513070220399795,-8.814394186375365
20260528,-17402.06092469996,19689328.721,219,0.9243862725450902,-8.838321088183918
20260529,-20392.692890400052,19880882.622,219,0.9408854166666667,-10.257438403581583
20260601,-21405.852621000056,20596639.380000003,223,0.9635861376192868,-10.392886055861046
20260602,-23444.583729000056,20195874.97,216,0.9616868089483157,-11.60860015415319
20260603,-22929.347996999917,19274228.61,215,0.9245810055865922,-11.896376483312823
20260604,-22728.704925000016,20316294.150000002,218,0.9641704791716831,-11.187426583405722
20260605,-20900.710191000013,20242752.880000003,220,0.9518943170488534,-10.325033514413978
20260608,-22387.62332400011,20281132.07,220,0.9569004524886878,-11.038645794884422
20260609,-16579.12407330002,19293617.369000003,219,0.9177260065839453,-8.593061506412223
20260610,-21762.61419195004,19770065.15,216,0.9476917404129793,-11.007861646803953
20260611,-24846.622691699973,18701672.081,208,0.9321678321678322,-13.285776044027072
20260612,-13276.569860999993,19218060.580000002,212,0.9351063829787234,-6.908381730681375
20260615,-12180.232698000025,19586476.64,214,0.9461578672242551,-6.2186951343383745
20260616,-13044.323510999991,19706573.03,214,0.9502063983488133,-6.619275452480837
20260617,-17461.061562000054,19894731.560000002,215,0.966816367265469,-8.776726395799658
20260618,-15040.584893999952,19833764.720000003,216,0.9430458624127617,-7.583323240107465
20260622,-27289.846476000093,19995467.98,216,0.9569155446756425,-13.6480158920492
20260623,-21627.01528799995,19397956.840000004,214,0.9386363636363636,-11.149120222498624
20260624,-15643.45850099997,20017484.029999994,215,0.9626534343170541,-7.814897455422111
20260625,-22978.425087000007,19001584.26,211,0.9341115434500649,-12.092899609098176
20260626,-24280.38182099995,19648494.28,212,0.9516545411875147,-12.357375315886012
20260629,-16113.332688000006,19106471.14,210,0.9374068554396423,-8.433442559817463
20260630,-17539.79386199994,20323739.81,219,0.9636851084572264,-8.630199966135041
20260701,-21617.925871920008,19795355.0456,220,0.936897141461031,-10.920706308182694
20260702,-22004.219682779956,20098881.1639,218,0.9582595497090817,-10.947982379388447
20260703,-20707.506297000007,20649157.46,218,0.9824436536180309,-10.02825724832262
20260706,-24237.000877200033,19256583.856,210,0.9549009900990099,-12.586345043567126
20260707,-18289.657430999963,20032503.93,211,0.9830592924763328,-9.129990686591102
20260708,-16695.32444699994,18447141.11,207,0.9120291616038882,-9.050358723579983
