sym,activity,informed,size,cxl,px,logact,logsize,cluster
000001,375.626582278481,0.08220469402866477,2960.5729946583824,0.24059477946379432,11.1,2.5747563187601012,4.3185850100788254,3
000002,349.6666666666667,0.07652804956510673,5244.077620967742,0.2600746162389998,4.88,2.5436542334738954,4.3185850100788254,3
000004,20.83050847457627,0.09737007153803903,2096.470588235294,0.287632153045813,10.61,1.3186998712443099,4.3185850100788254,2
000005,8.836909871244636,0.07762326378163208,10176.923076923076,0.3333333333333333,1.41,0.9463004255920124,4.3185850100788254,2
000006,142.7299578059072,0.08887584729881048,2150.606033717835,0.2390342439399769,8.645,2.1545151374054816,4.3185850100788254,1
000007,59.654008438818565,0.12072268277648115,1491.186396677051,0.2826086956521739,11.295,1.7756396313151763,4.3185850100788254,2
000008,105.46835443037975,0.07276186159179861,5486.666666666667,0.2830188679245283,2.71,2.0231221699852666,4.3185850100788254,3
000009,144.64556962025316,0.08663108275994304,1857.8956873510078,0.23164313222079586,9.355,2.1603051360901673,4.3185850100788254,1
000010,67.21097046413502,0.08380495530337358,3845.8333333333335,0.2758620689655172,3.29,1.8274401662559483,4.3185850100788254,1
000011,53.10126582278481,0.10475732113057412,1118.7423500611994,0.24037037037037035,8.614999999999998,1.7251048738742776,4.3185850100788254,1
000012,99.42405063291139,0.08665129014185853,2771.282169825859,0.2528669410150891,4.7,1.9974914527447027,4.3185850100788254,1
000014,79.48523206751055,0.09770952341996883,1158.6618876941457,0.26220238095238096,12.405000000000001,1.900286446551292,4.3185850100788254,1
000016,91.88185654008439,0.07950186822231038,3832.692307692308,0.2727272727272727,3.78,1.9632297618491557,4.3185850100788254,1
000017,85.60759493670886,0.09115016698166609,1393.9108187134505,0.24053571428571424,6.49,1.9325122961349013,4.3185850100788254,1
000019,76.31223628691984,0.09816551468966202,1504.4590643274855,0.2285714285714285,7.075,1.8825941804950719,4.3185850100788254,1
000020,65.5717299578059,0.09956955719606833,828.763440860215,0.2784237726098191,13.99,1.816716641668927,4.3185850100788254,2
000021,734.373417721519,0.08487031598959843,1081.4268764830772,0.2269818149717514,26.064999999999998,2.865916948223417,4.3185850100788254,3
000023,7.175877734650671,0.1324209850150677,2265.625,0.25,6.24,0.8558750304235913,4.3185850100788254,0
000025,66.80801687763713,0.09394337510845749,1111.0449002217294,0.25,16.55,1.824828580391902,4.3185850100788254,1
000026,64.41983122362869,0.10420580943455784,923.7639553429027,0.25460191981931113,15.190000000000001,1.8090195826577993,4.3185850100788254,1
000027,126.44092827004219,0.08740922289694335,2463.4571204234157,0.2222222222222222,6.6850000000000005,2.101887675565812,4.3185850100788254,1
000028,64.39451476793249,0.09631664429416895,618.6625529166965,0.25238988653622796,25.58,1.808848875007698,4.3185850100788254,1
000029,78.68565400843883,0.10979180356988759,717.1831637372803,0.26946386946386947,20.845,1.8958955588787503,4.3185850100788254,2
000030,89.58227848101265,0.0948726527140979,1513.392857142857,0.21439423924006995,5.29,1.9522221043148165,4.3185850100788254,1
000031,106.36286919831224,0.08786563667824157,2766.8026517083117,0.32247453310696095,2.94,2.0267900441558395,4.3185850100788254,2
000032,265.31434599156114,0.08773151989113967,1038.5304988282558,0.2383705918078633,19.605,2.4237607336480878,4.3185850100788254,3
000034,334.91139240506334,0.08685239517318157,805.9644206165468,0.23314966245591406,35.379999999999995,2.5249299208289187,4.3185850100788254,3
000035,151.76582278481013,0.08977192811406953,2549.6799191374666,0.2244897959183673,5.61,2.181173980735117,4.3185850100788254,1
000036,145.79957805907173,0.09397628242952029,2286.285046728972,0.2272727272727272,4.83,2.1637562671446307,4.3185850100788254,1
000037,100.53586497890296,0.08965243811182833,1598.2855107855107,0.25,9.105,2.002321018809549,4.3185850100788254,1
000038,10.752073946935564,0.09047209735374889,4458.279220779221,0.3333333333333333,4.105,1.0314922425620225,4.3185850100788254,2
000039,289.4388185654009,0.08382742644860677,1620.8757126701473,0.2011071798938571,9.280000000000001,2.4615567768112943,4.3185850100788254,3
000040,56.81856540084388,0.07781535795999805,4601.731601731602,0.3009433962264151,3.745,1.7544902641218227,4.3185850100788254,2
000042,49.9170778802832,0.11344164918400879,1438.0221653878943,0.2506038647342995,8.184999999999999,1.6982491540459057,4.3185850100788254,2
000045,71.68776371308017,0.10159752392611199,1186.842105263158,0.25,11.78,1.8554450328589418,4.3185850100788254,1
000046,69.22362869198312,0.06527605135509958,13518.181818181818,0.4137931034482758,1.16,1.8402543612048485,4.3185850100788254,2
000048,105.81434599156117,0.09884203068806638,957.5971143174252,0.2526744778400407,16.93,2.024544552033807,4.3185850100788254,1
000049,130.32489451476792,0.09162987513559011,663.84,0.2472989195678271,26.54,2.115027382080371,4.3185850100788254,1
000050,173.73839662447256,0.08814588170456823,1558.7268518518517,0.21285845134925663,8.92,2.239895809232009,4.3185850100788254,3
000055,50.49367088607595,0.09524994049198975,2258.8976750473103,0.241901776384535,3.995,1.703236945019398,4.3185850100788254,1
000056,84.57383966244726,0.08046376467005018,6088.135593220339,0.2982456140350877,2.1,1.9272360480603352,4.3185850100788254,2
000058,84.67510548523207,0.097762300444782,1262.3737373737372,0.23042886317222594,8.03,1.92775574634561,4.3185850100788254,1
000059,122.27004219409282,0.09179492443735876,2051.1097659402744,0.2185389914108342,5.29,2.0873200620768393,4.3185850100788254,1
000060,364.7721518987342,0.0824514308072117,3066.3904276693456,0.21682534333136733,5.975,2.5620216752200817,4.3185850100788254,3
000061,90.78481012658227,0.09891050351009727,1706.8365180467092,0.2409428197293758,6.905,1.9580131895997037,4.3185850100788254,1
000062,188.22362869198312,0.08772553069462526,868.8921063921064,0.24618305820351855,25.305,2.274674141760774,4.3185850100788254,3
000063,1049.7805907172997,0.08237827089145301,1051.8101574695177,0.22185306471040223,36.510000000000005,3.021098538881447,4.3185850100788254,3
000065,171.85443037974682,0.08803245841710822,1541.7921434785517,0.23424615697851975,12.305,2.2351607326598906,4.3185850100788254,3
000066,579.879746835443,0.07973123814686625,1584.4970047510842,0.23942356850715746,15.1,2.763337940630936,4.3185850100788254,3
000068,65.43037974683544,0.09402935472878107,2613.6923076923076,0.2404454722492697,3.42,1.8157794408772494,4.3185850100788254,1
000069,98.55696202531647,0.0808894646415499,7009.782608695652,0.2677868391451068,2.48,1.9936873080917017,4.3185850100788254,1
000070,518.7088607594937,0.08146813076389073,1595.2941176470588,0.25,12.34,2.714923666821589,4.3185850100788254,3
000078,144.86919831223628,0.0743104046890132,3941.034482758621,0.2857142857142857,3.09,2.160976056796095,4.3185850100788254,3
000088,94.66033755274262,0.08420553019078739,2622.5518082080453,0.24735788185560126,4.56,1.9761680488012345,4.3185850100788254,1
000089,73.34810126582278,0.09289775183566841,1633.7816807469985,0.2222222222222222,6.93,1.86538887591006,4.3185850100788254,1
000090,87.70886075949367,0.08696311086440395,3178.3805309734516,0.2354216252975178,3.8,1.9430434700429675,4.3185850100788254,1
000096,49.29535864978902,0.10414829858967817,1542.9102344196685,0.2727272727272727,10.2,1.6928060306833996,4.3185850100788254,2
000099,119.12447257383965,0.0865537903294371,1184.173669467787,0.25,17.814999999999998,2.0760009908024952,4.3185850100788254,1
000100,718.704641350211,0.07727935121125468,6143.799367046879,0.25525601363722455,4.465,2.8565504495127607,4.3185850100788254,3
000150,28.70464135021097,0.054584312303864485,12224.489795918367,0.391304347826087,1.09,1.4579521249504634,4.3185850100788254,2
000151,76.96624472573839,0.09626630794281296,1139.0625,0.25,12.36,1.8863002973341212,4.3185850100788254,1
000155,245.61814345991561,0.08490074383391591,1611.5048089767565,0.23931485164589839,12.75,2.390260444364445,4.3185850100788254,3
000156,86.64767932489451,0.09423929147782636,1527.2169059011164,0.2325581395348837,7.56,1.9377569355451563,4.3185850100788254,1
000157,304.8333333333333,0.07972352947582304,2424.9769585253453,0.21183498116760824,7.87,2.484062455092773,4.3185850100788254,3
000158,370.0632911392405,0.07843600694933216,1281.5043959622274,0.26759193776520507,17.63,2.5682760068828614,4.3185850100788254,3
000159,86.85654008438819,0.09884776243993026,2037.2487872487873,0.238095238095238,6.375,1.938802525323401,4.3185850100788254,1
000166,224.17299578059072,0.08348941132335155,4700.169983416252,0.2370295698924731,4.73,2.3505832956370876,4.3185850100788254,3
000301,185.21097046413502,0.08769405294441773,1421.3028169014085,0.2244285160790391,11.28,2.2676667073509456,4.3185850100788254,3
000333,519.0717299578059,0.07326506993771109,591.4884633609954,0.2048543416974066,77.065,2.715227376677625,4.3185850100788254,3
000338,705.4789029535865,0.07478809240409055,1294.4035545994675,0.19202632865423558,18.08,2.848484030892864,4.3185850100788254,3
000400,247.5042194092827,0.08443311328018711,961.1297588127744,0.23061899038461536,26.04,2.3935826071101873,4.3185850100788254,3
000401,66.03375527426161,0.0918658224558761,2300.0,0.2522130826478652,4.76,1.8197659958723635,4.3185850100788254,1
000402,74.41139240506328,0.08666802476793924,4810.101010101011,0.2692307692307692,2.825,1.8716394312433424,4.3185850100788254,1
000403,76.75105485232066,0.09604323302600279,1406.5992144808743,0.25543735224586284,14.125,1.8850843530533796,4.3185850100788254,1
000404,86.02531645569621,0.0951728133294801,1762.420814479638,0.21352583586626134,7.04,1.9346262789065667,4.3185850100788254,1
000407,74.10548523206751,0.08546320976582689,3218.1673837328417,0.27165775401069514,4.275,1.8698503553187635,4.3185850100788254,1
000408,315.1181434599156,0.09118555945352115,487.8116343490305,0.2394366197183098,73.24,2.498473409132993,4.3185850100788254,3
000409,90.10126582278481,0.0910340397786414,1443.1552461311437,0.24519052904180536,10.155000000000001,1.9547308923773856,4.3185850100788254,1
000410,88.23839662447257,0.09025987164968043,2625.8071025020176,0.2372881355932203,6.859999999999999,1.9456576079603471,4.3185850100788254,1
000411,50.9746835443038,0.0984625542165344,1181.5113871635613,0.24357284113381672,11.465,1.7073545383169901,4.3185850100788254,1
