date,sym,side,plan,vwap_twap,fill_twap,vwap_rand,fill_rand,vwap_sig,fill_sig
20260105,002131,1,164200,6.097034104750304,164200.0,6.095438489646773,164200.0,6.09516443361754,164200.0
20260105,002050,2,17900,55.66486368715084,17900.0,55.70256983240223,17900.0,55.75268156424581,17900.0
20260105,000592,1,64000,15.634345000000001,64000.0,15.624018281249999,64000.0,15.623780625,64000.0
20260105,300058,2,82500,12.112495999999998,82500.0,12.109792,82500.0,12.120268242424244,82500.0
20260105,000547,1,30300,32.87026402640264,30300.0,32.8408297029703,30300.0,32.83138514851485,30300.0
20260105,000559,2,59900,16.663355592654423,59900.0,16.680866777963274,59900.0,16.68372587646077,59900.0
20260105,002639,1,51000,19.600786666666664,51000.0,19.591923921568625,51000.0,19.59221450980392,51000.0
20260105,002471,2,134400,7.436384047619047,134400.0,7.444226517857143,134400.0,7.430178921130953,134400.0
20260105,002709,1,21400,46.68075280373832,21400.0,46.688317757009344,21400.0,46.644717757009346,21400.0
20260105,002202,2,44500,22.42570786516854,44500.0,22.428629213483145,44500.0,22.41627146067416,44500.0
20260105,002703,1,44600,22.21953677130045,44600.0,22.23049529147982,44600.0,22.160623094170404,44600.0
20260105,002759,2,21800,45.60155733944954,21800.0,45.64288899082569,21800.0,45.72834770642202,21800.0
20260105,300136,1,15100,66.16900662251656,15100.0,66.16516291390728,15100.0,66.11954370860926,15100.0
20260105,002407,2,29600,33.60814054054054,29600.0,33.59368344594595,29600.0,33.66077432432433,29600.0
20260105,002361,1,73400,13.62520544959128,73400.0,13.611745640326976,73400.0,13.593118937329699,73400.0
20260105,300059,2,42600,23.462840375586854,42600.0,23.481337089201876,42600.0,23.4710103286385,42600.0
20260105,002565,1,57900,17.233801208981003,57900.0,17.238082728842834,57900.0,17.23065233160622,57900.0
20260105,002465,2,61000,16.439725409836065,61000.0,16.452198524590163,61000.0,16.446542459016392,61000.0
20260105,002149,1,21700,45.87005023041475,21700.0,45.830782949308755,21700.0,45.85861612903226,21700.0
20260105,300433,2,30600,32.63107712418301,30600.0,32.633792810457514,30600.0,32.60566307189543,30600.0
20260105,002475,1,16900,59.009939644970416,16900.0,59.023668639053255,16900.0,59.027216568047336,16900.0
20260105,000630,2,173900,5.7373145485911445,173900.0,5.7379413456009205,173900.0,5.736428982173663,173900.0
20260105,300475,1,6300,157.77873015873016,6300.0,157.777126984127,6300.0,158.00698412698412,6300.0
20260105,002792,2,22400,44.63597098214286,22400.0,44.608066071428574,22400.0,44.62409553571428,22400.0
20260105,002600,1,62700,15.94472216905901,62700.0,15.947478468899522,62700.0,15.94346028708134,62700.0
20260105,300346,2,22300,44.75049775784754,22300.0,44.7297269058296,22300.0,44.745382511210764,22300.0
20260105,002837,1,9300,106.72109677419354,9300.0,106.77451612903226,9300.0,106.60529032258064,9300.0
20260105,300762,2,22800,43.96083377192983,22800.0,43.94789210526316,22800.0,43.87513421052632,22800.0
20260105,002716,1,133500,7.504449438202247,133500.0,7.5024419475655435,133500.0,7.4942770786516855,133500.0
20260105,300236,2,13800,72.29079710144927,13800.0,72.1519579710145,13800.0,72.21840724637681,13800.0
20260105,300170,1,50800,19.678583267716537,50800.0,19.669489173228346,50800.0,19.68578779527559,50800.0
20260105,300115,2,22100,45.210906787330316,22100.0,45.20149185520362,22100.0,45.2448850678733,22100.0
20260105,002230,1,19100,52.39523560209424,19100.0,52.4143445026178,19100.0,52.36848219895288,19100.0
20260105,002347,2,76000,13.200473552631578,76000.0,13.210786447368422,76000.0,13.195994999999998,76000.0
20260105,002463,1,13400,74.05514925373134,13400.0,74.08492313432835,13400.0,74.12806268656716,13400.0
20260105,002009,2,45400,22.014006607929513,45400.0,22.019846696035245,45400.0,22.01598964757709,45400.0
20260105,002151,1,21200,47.12490896226415,21200.0,47.108351886792455,21200.0,47.12169811320755,21200.0
20260105,000426,2,26500,37.78294113207547,26500.0,37.80287056603774,26500.0,37.83045433962264,26500.0
20260105,301171,1,25100,39.71549721115538,25100.0,39.67529760956175,25100.0,39.68003824701195,25100.0
20260105,300102,2,37700,26.47482652519894,37700.0,26.496845623342175,37700.0,26.462546419098143,37700.0
20260105,002083,1,78200,12.750411538461538,67600.0,12.755446153846155,68900.0,12.755650384024577,65100.0
20260105,002115,2,77100,12.96469701686122,77100.0,12.966678988326848,77100.0,12.975548249027238,77100.0
20260105,002602,1,54200,18.398723247232475,54200.0,18.403209409594094,54200.0,18.39175184501845,54200.0
20260105,000792,2,32800,30.448838414634142,32800.0,30.442285975609757,32800.0,30.4516125,32800.0
20260105,002788,1,48100,20.676122661122662,48100.0,20.718244074844076,48100.0,20.613978794178795,48100.0
20260105,002414,2,65400,15.284939449541286,65400.0,15.289924159021407,65400.0,15.291558562691131,65400.0
20260105,300450,1,19600,50.966123979591835,19600.0,50.99260102040816,19600.0,50.95576734693878,19600.0
20260105,300300,2,64800,15.389891358024691,64800.0,15.397931327160492,64800.0,15.40096913580247,64800.0
20260105,000021,1,37500,26.594589866666666,37500.0,26.5963184,37500.0,26.582185066666664,37500.0
20260105,002177,2,113600,8.791716602112677,113600.0,8.789533785211267,113600.0,8.799278397887324,113600.0
20260105,000063,1,26200,38.16126145038168,26200.0,38.156146564885496,26200.0,38.15339389312977,26200.0
20260105,001208,2,42500,23.520517411764704,42500.0,23.477457411764703,42500.0,23.50329152941176,42500.0
20260105,000036,1,164200,6.125401887941535,164200.0,6.131406918392205,164200.0,6.12291724725944,164200.0
20260105,300503,2,16300,60.94613496932515,16300.0,60.93944601226995,16300.0,61.013427607361955,16300.0
20260105,002272,1,60200,16.64088023255814,60200.0,16.649868272425252,60200.0,16.64362242524917,60200.0
20260105,002240,2,28900,34.43813287197232,28900.0,34.46844394463668,28900.0,34.41660726643598,28900.0
20260105,002196,1,66200,15.116175830815711,66200.0,15.111480966767372,66200.0,15.116252870090635,66200.0
20260105,300003,2,54800,18.242910583941605,54800.0,18.2593450729927,54800.0,18.27473686131387,54800.0
20260105,300274,1,5700,173.63964912280701,5700.0,173.6340350877193,5700.0,173.66664912280703,5700.0
20260105,002241,2,34100,29.32592609970675,34100.0,29.321318475073312,34100.0,29.34821759530792,34100.0
20260113,002202,1,30100,33.22923588039867,30100.0,33.24528305647841,30100.0,33.21810797342193,30100.0
20260113,002195,2,82300,12.140413365735116,82300.0,12.134654191980559,82300.0,12.142357958687729,82300.0
20260113,300058,1,45400,21.841408810572688,45400.0,21.837798017621147,45400.0,21.763744713656386,45400.0
20260113,002413,2,55000,18.069235636363636,55000.0,18.043602000000003,55000.0,18.053074181818182,55000.0
20260113,000981,1,191500,5.228987154046997,191500.0,5.224741321148825,191500.0,5.220710083550913,191500.0
20260113,002050,2,17100,58.40140701754386,17100.0,58.37537953216374,17100.0,58.43432456140351,17100.0
20260113,300059,1,39700,25.139925944584384,39700.0,25.128663979848866,39700.0,25.12531813602015,39700.0
20260113,002600,2,56800,17.5867786971831,56800.0,17.58477147887324,56800.0,17.608046126760563,56800.0
20260113,002519,1,93900,10.618105750798723,93900.0,10.616867412140575,93900.0,10.58111544195953,93900.0
20260113,300433,2,24900,40.22211927710843,24900.0,40.21172771084338,24900.0,40.19775140562249,24900.0
20260113,300442,1,11700,84.75379180243526,11662.0,84.76521367521367,11700.0,84.7449161044802,11562.0
20260113,300418,2,14900,66.7628187919463,14900.0,66.73221812080537,14900.0,66.82087382550336,14900.0
20260113,002639,1,35400,28.14034293785311,35400.0,28.137515819209042,35400.0,28.07739604519774,35400.0
20260113,301171,2,13600,73.0614705882353,13600.0,73.07794191176471,13600.0,73.10323308823529,13600.0
20260113,300409,1,28200,35.40655886524823,28200.0,35.38673758865248,28200.0,35.42762624113475,28200.0
20260113,002792,2,16000,62.44424875,16000.0,62.402626250000004,16000.0,62.498685625,16000.0
20260113,000559,1,50400,19.8716001984127,50400.0,19.855092063492062,50400.0,19.83128214285714,50400.0
20260113,300253,2,69200,14.447361416184973,69200.0,14.439184826589596,69200.0,14.452329768786127,69200.0
20260113,300136,1,13300,74.96962406015038,13300.0,74.8724060150376,13300.0,74.78405413533834,13300.0
20260113,000592,2,62900,15.90953895071542,62900.0,15.919220985691574,62900.0,15.915262321144674,62900.0
20260113,002230,1,16100,62.09093043478261,16100.0,62.11291925465839,16100.0,62.066832298136646,16100.0
20260113,002361,2,63500,15.699858267716536,63500.0,15.696283622047245,63500.0,15.702410078740158,63500.0
20260113,000063,1,24200,41.305497520661156,24200.0,41.30252148760331,24200.0,41.29909214876033,24200.0
20260113,002475,2,18000,55.42744333333333,18000.0,55.42755888888889,18000.0,55.406887777777776,18000.0
20260113,000969,1,35300,28.387367422096318,35300.0,28.400053824362608,35300.0,28.337108781869688,35300.0
20260113,300015,2,83400,11.981607194244605,83400.0,11.979782973621104,83400.0,11.989782973621104,83400.0
20260113,300170,1,32200,31.109257142857146,32200.0,31.09605155279503,32200.0,31.076647204968946,32200.0
20260113,002460,2,14200,70.20430985915493,14200.0,70.25705774647888,14200.0,70.32574647887324,14200.0
20260113,002173,1,27900,35.671115053763444,27900.0,35.66885806451614,27900.0,35.65480358422939,27900.0
20260113,002512,2,127000,7.880141771653543,127000.0,7.8869920629921255,127000.0,7.885409354330709,127000.0
20260113,000987,1,88700,11.216422096956032,88700.0,11.18840428410372,88700.0,11.217044532130778,88700.0
20260113,000547,2,27700,35.28,27700.0,35.28,27700.0,35.28,27700.0
20260113,002347,1,74000,13.550553513513512,74000.0,13.528319189189189,74000.0,13.570098108108109,74000.0
20260113,300450,2,17500,57.03988685714286,17500.0,57.01565542857143,17500.0,57.011314285714285,17500.0
20260113,002402,1,24400,40.95737704918033,24400.0,40.947418032786885,24400.0,40.95537008196722,24400.0
20260113,002471,2,118300,8.44687235841082,118300.0,8.453829399830939,118300.0,8.450735697379544,118300.0
20260113,002241,1,33500,29.831852537313434,33500.0,29.836358208955225,33500.0,29.854835522388058,33500.0
20260113,002759,2,22300,44.646495515695065,22300.0,44.66796726457399,22300.0,44.644118834080714,22300.0
20260113,300102,1,28100,35.5853384341637,28100.0,35.58900640569395,28100.0,35.556582918149466,28100.0
20260113,300115,2,22200,45.08495315315315,22200.0,45.0330581081081,22200.0,45.0413972972973,22200.0
20260113,002163,1,51900,19.251694412331407,51900.0,19.247781502890174,51900.0,19.251752793834296,51900.0
20260113,300456,2,16900,59.10974792899408,16900.0,59.0465650887574,16900.0,59.10022071005917,16900.0
20260113,002342,1,78100,12.785479897567221,78100.0,12.78881024327785,78100.0,12.760808322663252,78100.0
20260113,300274,2,6100,163.673868852459,6100.0,163.62109836065574,6100.0,163.6738524590164,6100.0
20260113,002716,1,111200,8.964253705035972,111200.0,8.97523376798561,111200.0,8.969855539568345,111200.0
20260113,002837,2,9900,100.27274848484848,9900.0,100.20474848484848,9900.0,100.13595959595959,9900.0
20260113,000988,1,12100,82.44743140495868,12100.0,82.38337851239669,12100.0,82.44982727272726,12100.0
20260113,000792,2,29600,33.67608074324324,29600.0,33.67469358108108,29600.0,33.68284189189189,29600.0
20260113,300118,1,57300,17.53092617801047,57300.0,17.534748516579405,57300.0,17.570033507853402,57300.0
20260113,300204,2,31300,31.830639616613418,31300.0,31.804983706070292,31300.0,31.830800958466455,31300.0
20260113,002463,1,14200,70.4480985915493,14200.0,70.42070563380283,14200.0,70.4385971830986,14200.0
20260113,300364,2,25200,39.55809603174603,25200.0,39.54980476190476,25200.0,39.63802301587302,25200.0
20260113,002466,1,15800,62.843924050632914,15800.0,62.87962405063291,15800.0,62.94962721518988,15800.0
20260113,002261,2,27800,35.943784532374096,27800.0,35.936411151079135,27800.0,35.94576438848921,27800.0
20260113,300346,1,17200,57.831019767441866,17200.0,57.79591569767442,17200.0,57.76933953488372,17200.0
20260113,300065,2,41100,24.293330413625302,41100.0,24.232577615571774,41100.0,24.36325790754258,41100.0
20260113,002602,1,49800,20.101463052208835,49800.0,20.10473674698795,49800.0,20.1190859437751,49800.0
20260113,002555,2,32800,30.399126829268294,32800.0,30.36650548780488,32800.0,30.42846402439024,32800.0
20260113,002156,1,24300,41.21555514403292,24300.0,41.25230288065843,24300.0,41.19238148148148,24300.0
20260113,300383,2,63300,15.799475197472354,63300.0,15.794198262243286,63300.0,15.812997314375988,63300.0
20260121,300058,1,54600,18.089598351648352,54600.0,18.08727106227106,54600.0,17.98472197802198,54600.0
20260121,002195,2,104600,9.569282868068834,104600.0,9.564770439770555,104600.0,9.586826003824092,104600.0
20260121,300136,1,13300,75.36751503759398,13300.0,75.43556090225563,13300.0,75.29052781954887,13300.0
20260121,002050,2,17100,58.32789122807017,17100.0,58.318419298245615,17100.0,58.45134619883041,17100.0
20260121,000981,1,193700,5.165616933402168,193700.0,5.166695921528136,193700.0,5.163159525038719,193700.0
